"Key","SourceString",""
"FFr_F5EA4EA6.DisplayName","Testy",""
"FFr_F5EA4EA6.Text","Testowe",""
"Dlg_8C6B33D0.DisplayName","Dialog1",""
"Dlg_8C6B33D0.Text","Dialog z NPC1",""
"Dlg_80270600.DisplayName","Dialog2",""
"Dlg_80270600.Text","Dialog z NPC2",""
"Dlg_19BF0109.DisplayName","Dialog linearny",""
"Dlg_19BF0109.Text","Krótki dialog do testów.",""
"Dlg_BCE87EF3.DisplayName","Proste rozgałęzienie",""
"Dlg_BCE87EF3.Text","Proste rozgałęzienie dialogu do testów.",""
"DFr_051B7DD2.Text","Studencie! Gratuluję! Udało ci się odpalić dialog w Unrealu.",""
"DFr_036E6EA6.PreviewText","Łatwizna!",""
"DFr_036E6EA6.Text","W sumie to było całkiem proste.",""
"DFr_734FEB33.Text","O, to znowu ty. Masz jeszcze jakieś pytania?",""
"DFr_555939CB.Text","Masz jakieś pytania do mnie, zanim porozmawiasz z NPC2?",""
"DFr_937E84CD.PreviewText","Łatwo nie było...",""
"DFr_937E84CD.Text","Oj, łatwo nie było... Ale w końcu się udało.",""
"DFr_6540F317.PreviewText","Znasz NPC2 dobrze?",""
"DFr_6540F317.Text","Czy znasz NPC2 dobrze? Rozmawiasz z nią często?",""
"DFr_83758E1C.PreviewText","Nie wiem, doradź mi.",""
"DFr_83758E1C.Text","Nie wiem, doradź mi coś, stary.",""
"DFr_1A5B8416.PreviewText","Idę do NPC2.",""
"DFr_1A5B8416.Text","Idę do niej.",""
"DFr_9D6B9F47.Text","Powodzenia!",""
"DFr_FFE3CE99.Text","Czasami coś krzykniemy do siebie, ale nigdy twarzą w twarz. Żadne nie może ruszyć się ze swojego posterunku.",""
"DFr_772E01C2.Text","Zapytaj ją o cheaty.",""
"DFr_671CD267.Text","Och, to... depresyjne.",""
"DFr_FFFD9FE4.Text","Coś jeszcze?",""
"DFr_153D469C.Text","Murowany max punktów za pracę domową, zobaczysz.",""
"DFr_D58D3529.Text","O, dzięki!",""
"DFr_0ADD76DD.Text","Witam.",""
"DFr_B29FF06C.Text","Witam ponownie.",""
"DFr_A3D52511.Text","To wszystko?",""
"DFr_C2D765CF.Text","Jakieś pytania czy kończymy zabawę z Unrealem?",""
"DFr_41B7C34B.PreviewText","Lubisz NPC1?",""
"DFr_41B7C34B.Text","Czy lubisz NPC1?",""
"DFr_C18C47A0.PreviewText","Cheaty?",""
"DFr_C18C47A0.Text","NPC1 podpowiedział mi, by zapytać cię o cheaty.",""
"DFr_A95E9253.PreviewText","Kończymy!",""
"DFr_A95E9253.Text","Kończmy tę imprezę.",""
"DFr_3A9EDA62.Text","Wedle życzenia.",""
"DFr_5ECA705F.Text","Miłego dnia!",""
"DFr_2F96A000.Text","Cheat odblokowany, max punktów murowany!",""
"DFr_5DBB5368.Text","Zwykle patrzę na niego z góry.",""
"DFr_C73E354E.Text","Ach, oczywiście. Cheat aktywowany!",""
"DFr_ED5DF485.Text","Dzieńdoberek! Jam jest test linearny.",""
"DFr_17E8B79F.Text","Serio?",""
"DFr_C1574955.Text","Zaiste.",""
"DFr_C58501C0.Text","Hej! Jam jest test rozgałęzienia dialogowego.",""
"DFr_F76CB9F9.PreviewText","Super!",""
"DFr_F76CB9F9.Text","To super.",""
"DFr_BAD9F592.PreviewText","Eee?",""
"DFr_BAD9F592.Text","Nie jestem fanem testów.",""
"DFr_79D29BF3.Text","Aha. Ładną pogodę mamy, nie?",""
"DFr_5CD4C92B.Text","Dobra pogadanka. To do miłego!",""
"DFr_98281AB9.PreviewText","Ano.",""
"DFr_98281AB9.Text","Ano. Słonko ładnie świeci.",""
"DFr_D260A08E.PreviewText","No nie wiem...",""
"DFr_D260A08E.Text","No nie wiem, trochę piździ.",""
"DFr_EB3D8305.PreviewText","Wolę jak pada.",""
"DFr_EB3D8305.Text","Wolę jak pada, a nie tylko wieje.",""
"Ntt_353B8EB8.DisplayName","Gracz",""
"Ntt_79281EE4.DisplayName","NPC1",""
"Ntt_11286DF9.DisplayName","NPC2",""
